"state","district","party","gender","nameid","icpsr.id","missingVotes","idealPoint","lo","up","label","indx","firstnm","lastnm"
"NY","7","D","F","V000081","29378",7,-2.28923818822379,-3.03758007622435,-1.6174391461383,"Vel<U+00E1>zquez (D NY-7)",1,"Nydia","Velázquez"
"CA","13","D","F","L000551","29778",68,-2.27902027211852,-3.14337524161605,-1.38243709134139,"Lee (D CA-13)",2,"Barbara","Lee"
"GA","5","D","M","L000287","15431",45,-2.15271656427845,-2.99505979866794,-1.43967026575696,"Lewis (D GA-5)",3,"John","Lewis"
"MN","5","D","M","E000288","20727",14,-2.11095460313434,-2.9677743152046,-1.28493246095675,"Ellison (D MN-5)",4,"Keith","Ellison"
"MI","13","D","M","C000714","10713",17,-1.99347163915145,-2.5882598798678,-1.3578771194234,"Conyers Jr. (D MI-13)",5,"John","Conyers Jr."
"CA","20","D","M","F000030","29313",5,-1.98100722276876,-2.84928850540114,-1.24666052827741,"Farr (D CA-20)",6,"Sam","Farr"
"WI","2","D","M","P000607","21370",9,-1.95837101196135,-2.64641235736018,-1.36299722313829,"Pocan (D WI-2)",7,"Mark","Pocan"
"IL","9","D","F","S001145","29911",6,-1.95669857377802,-2.5527964432471,-1.30008039216238,"Schakowsky (D IL-9)",8,"Jan","Schakowsky"
"NY","10","D","M","N000002","29377",11,-1.90591854494677,-2.48884157957264,-1.18605117586065,"Nadler (D NY-10)",9,"Jerrold","Nadler"
"VT","1","D","M","W000800","20750",18,-1.87610842528335,-2.52161621544878,-1.25565427947932,"Welch (D VT-1)",10,"Peter","Welch"
"MA","2","D","M","M000312","29729",3,-1.83584727795925,-2.47681050508575,-1.22331135891358,"McGovern (D MA-2)",11,"Jim","McGovern"
"CA","43","D","F","W000187","29106",36,-1.82458843321681,-2.42260980443069,-1.20214652404894,"Waters (D CA-43)",12,"Maxine","Waters"
"CA","27","D","F","C001080","20955",24,-1.79723462657011,-2.33382151682016,-1.21359365900805,"Chu (D CA-27)",13,"Judy","Chu"
"NY","9","D","F","C001067","20733",11,-1.77832396524418,-2.41516368116926,-1.19091181193633,"Clarke (D NY-9)",14,"Yvette","Clarke"
"NY","15","D","M","S000248","29134",2,-1.74936365884474,-2.4259831393704,-1.2239612092238,"Serrano (D NY-15)",15,"José","Serrano"
"MD","3","D","M","S001168","20724",9,-1.72704839032412,-2.30764827997683,-1.16941560703834,"Sarbanes (D MD-3)",16,"John","Sarbanes"
"CA","17","D","M","H001034","20103",8,-1.71725732784119,-2.35091976250602,-1.12987803110939,"Honda (D CA-17)",17,"Michael","Honda"
"MD","4","D","F","E000290","20763",15,-1.69794328695827,-2.36419128525104,-1.15276800359954,"Edwards (D MD-4)",18,"Donna","Edwards"
"OH","11","D","F","F000455","20941",7,-1.66677621191005,-2.25653313233193,-1.09583899389749,"Fudge (D OH-11)",19,"Marcia","Fudge"
"CA","11","D","M","D000623","",3,-1.65276698239862,-2.2104611797326,-1.16739949078136,"DeSaulnier (D CA-11)",20,"Mark","DeSaulnier"
"CA","2","D","M","H001068","21303",8,-1.64054174297515,-2.15168147121687,-1.12099547350169,"Huffman (D CA-2)",21,"Jared","Huffman"
"IL","4","D","M","G000535","29348",53,-1.59177027703346,-2.15867423563218,-1.09601611624745,"Gutierrez (D IL-4)",22,"Luis","Gutierrez"
"MD","7","D","M","C000984","29587",22,-1.57966347104515,-2.14216163533124,-1.05660316932351,"Cummings (D MD-7)",23,"Elijah","Cummings"
"NY","8","D","M","J000294","21343",7,-1.57155622531405,-2.0941960114111,-1.14350228426227,"Jeffries (D NY-8)",24,"Hakeem","Jeffries"
"ME","1","D","F","P000597","20920",5,-1.55162444162735,-2.0445262634599,-1.09007865322406,"Pingree (D ME-1)",25,"Chellie","Pingree"
"MA","5","D","F","C001101","",5,-1.51668372837208,-1.96633387456536,-1.10873655222059,"Clark (D MA-5)",26,"Katherine","Clark"
"CA","38","D","F","S001156","20310",14,-1.51318219292849,-2.0174213570614,-1.02426875038216,"Sanchez (D CA-38)",27,"Linda","Sanchez"
"NY","14","D","M","C001038","29925",24,-1.50195350028483,-2.00168952253535,-1.05383925072689,"Crowley (D NY-14)",28,"Joseph","Crowley"
"NC","12","D","F","A000370","",39,-1.49060482663537,-2.02756298466789,-1.07275220072267,"Adams (D NC-12)",29,"Alma","Adams"
"CA","40","D","F","R000486","29317",8,-1.48268005683298,-1.96048454737182,-1.10801298433114,"Roybal-Allard (D CA-40)",30,"Lucille","Roybal-Allard"
"AZ","7","D","M","G000574","",11,-1.48221395768709,-1.93441138101683,-1.05361751148562,"Gallego (D AZ-7)",31,"Ruben","Gallego"
"NJ","12","D","F","W000822","",5,-1.45594547363418,-1.8695022537157,-1.08193577795155,"Watson Coleman (D NJ-12)",32,"Bonnie","Watson Coleman"
"PA","2","D","M","F000043","29559",8,-1.45075850697933,-1.86842723790291,-1.05607443271253,"Fattah (D PA-2)",33,"Chaka","Fattah"
"NJ","6","D","M","P000034","15454",10,-1.42407070385751,-1.86141766450921,-1.047001046395,"Pallone (D NJ-6)",34,"Frank","Pallone"
"AZ","3","D","M","G000551","20305",30,-1.38865668347263,-1.78685914665006,-1.0447901745291,"Grijalva (D AZ-3)",35,"Raúl","Grijalva"
"WA","7","D","M","M000404","15613",9,-1.38815851312052,-1.77825309065669,-1.01046110632021,"McDermott (D WA-7)",36,"Jim","McDermott"
"NC","4","D","M","P000523","15438",17,-1.34996588575643,-1.74775536087342,-1.00611722948237,"Price (D NC-4)",37,"David","Price"
"NY","16","D","M","E000179","15603",22,-1.34336407381203,-1.70938893525141,-0.997812604958745,"Engel (D NY-16)",38,"Eliot","Engel"
"NJ","10","D","M","P000604","31103",69,-1.33455091025373,-1.76754055750953,-0.988470282177134,"Payne Jr. (D NJ-10)",39,"Donald","Payne Jr."
"MA","3","D","F","T000465","20754",33,-1.32363838954569,-1.70979571940795,-0.980009325695125,"Tsongas (D MA-3)",40,"Niki","Tsongas"
"FL","14","D","F","C001066","20708",8,-1.31660723039934,-1.6848666780703,-0.997246676890086,"Castor (D FL-14)",41,"Kathy","Castor"
"IN","7","D","M","C001072","20757",6,-1.29922006644928,-1.65464265303372,-0.986223151824146,"Carson (D IN-7)",42,"André","Carson"
"MD","8","D","M","V000128","20330",7,-1.2899842063952,-1.63212502825843,-0.990745993358661,"Van Hollen (D MD-8)",43,"Chris","Van Hollen"
"FL","20","D","M","H000324","29337",28,-1.27722435107716,-1.57826323722049,-0.955815212581436,"Hastings (D FL-20)",44,"Alcee","Hastings"
"CA","6","D","F","M001163","20538",4,-1.27039403677271,-1.61863257184465,-0.96622701091809,"Matsui (D CA-6)",45,"Doris","Matsui"
"RI","1","D","M","C001084","21172",3,-1.26843177452014,-1.58983494687091,-0.976899352225884,"Cicilline (D RI-1)",46,"David","Cicilline"
"WI","4","D","F","M001160","20537",21,-1.266326180399,-1.57263038405471,-0.962347148458485,"Moore (D WI-4)",47,"Gwen","Moore"
"TX","30","D","F","J000126","39305",4,-1.25172065807728,-1.54965784539008,-0.98088333805843,"Johnson (D TX-30)",48,"Eddie","Johnson"
"MN","4","D","F","M001143","20122",2,-1.24545749250042,-1.58825243068121,-0.959786771790474,"McCollum (D MN-4)",49,"Betty","McCollum"
"CA","32","D","F","N000179","29903",12,-1.2451787544676,-1.56840899848762,-0.946843896460741,"Napolitano (D CA-32)",50,"Grace","Napolitano"
"CA","37","D","F","B001270","21110",19,-1.23656589404033,-1.55130646938576,-0.943234752460855,"Bass (D CA-37)",51,"Karen","Bass"
"MO","5","D","M","C001061","20517",32,-1.23469554101152,-1.56887930437177,-0.924984280313919,"Cleaver II (D MO-5)",52,"Emanuel","Cleaver II"
"CA","12","D","F","P000197","15448",25,-1.23330499217585,-1.54324037752714,-0.938946113166237,"Pelosi (D CA-12)",53,"Nancy","Pelosi"
"CA","34","D","M","B000287","29316",20,-1.22974793886255,-1.55985097773782,-0.953829468721036,"Becerra (D CA-34)",54,"Xavier","Becerra"
"NY","25","D","F","S000480","15444",16,-1.2287885964343,-1.5310020828688,-0.908529180753556,"Slaughter (D NY-25)",55,"Louise","Slaughter"
"MS","2","D","M","T000193","29368",12,-1.21332779455605,-1.50219692081152,-0.900397544290434,"Thompson (D MS-2)",56,"Bennie","Thompson"
"MA","7","D","M","C001037","29919",14,-1.19887641031535,-1.49045153706091,-0.933825053821133,"Capuano (D MA-7)",57,"Michael","Capuano"
"MO","1","D","M","C001049","20147",18,-1.19009717516378,-1.50286774748485,-0.936624383734323,"Clay (D MO-1)",58,"William","Clay"
"NY","20","D","M","T000469","20934",12,-1.18744894043551,-1.47433812018901,-0.898018776208226,"Tonko (D NY-20)",59,"Paul","Tonko"
"MI","14","D","F","L000581","",6,-1.18601687988754,-1.45813848081022,-0.9158902495264,"Lawrence (D MI-14)",60,"Brenda","Lawrence"
"CA","41","D","M","T000472","21312",2,-1.18571032073644,-1.46161587906233,-0.919278412237205,"Takano (D CA-41)",61,"Mark","Takano"
"FL","22","D","F","F000462","21321",9,-1.18543037686687,-1.48655714480458,-0.895325590978639,"Frankel (D FL-22)",62,"Lois","Frankel"
"CA","29","D","M","C001097","21309",16,-1.18081456202637,-1.46312124083531,-0.903735727458952,"Cardenas (D CA-29)",63,"Tony","Cardenas"
"WA","9","D","M","S000510","29768",117,-1.17499231819749,-1.57735790923992,-0.827671842712157,"Smith (D WA-9)",64,"Adam","Smith"
"CO","1","D","F","D000197","29710",4,-1.17489016704638,-1.46677712112742,-0.907700367996085,"DeGette (D CO-1)",65,"Diana","DeGette"
"CA","51","D","M","V000130","21314",4,-1.17426419904475,-1.45322992045535,-0.915537685634813,"Vargas (D CA-51)",66,"Juan","Vargas"
"NY","17","D","F","L000480","15612",9,-1.17156785231775,-1.4634113969171,-0.887079731599418,"Lowey (D NY-17)",67,"Nita","Lowey"
"CA","18","D","F","E000215","29312",16,-1.1649476434236,-1.44179107294957,-0.891032241669761,"Eshoo (D CA-18)",68,"Anna","Eshoo"
"CA","47","D","M","L000579","21313",4,-1.16481657316028,-1.41814423216212,-0.892892658012736,"Lowenthal (D CA-47)",69,"Alan","Lowenthal"
"OR","1","D","F","B001278","21198",4,-1.16134986247837,-1.47564205332306,-0.928658324886122,"Bonamici (D OR-1)",70,"Suzanne","Bonamici"
"NY","5","D","M","M001137","29776",25,-1.16023978437281,-1.43953909900686,-0.904348743566383,"Meeks (D NY-5)",71,"Gregory","Meeks"
"CT","3","D","F","D000216","29109",9,-1.15874367942378,-1.44716564932784,-0.879990106109079,"DeLauro (D CT-3)",72,"Rosa","DeLauro"
"NC","1","D","M","B001251","20340",6,-1.15491162688043,-1.41931982239195,-0.881755168995831,"Butterfield (D NC-1)",73,"G.","Butterfield"
"CA","28","D","M","S001150","20104",2,-1.13852360720555,-1.40243563615429,-0.894691349996649,"Schiff (D CA-28)",74,"Adam","Schiff"
"FL","21","D","M","D000610","20959",10,-1.13828060340742,-1.377874672745,-0.887905590403873,"Deutch (D FL-21)",75,"Ted","Deutch"
"MI","12","D","F","D000624","",6,-1.13289698357157,-1.40241931330608,-0.882179637650951,"Dingell (D MI-12)",76,"Debbie","Dingell"
"MA","1","D","M","N000015","15616",17,-1.13193493892956,-1.42204046979278,-0.874958739094189,"Neal (D MA-1)",77,"Richard","Neal"
"KY","3","D","M","Y000062","20723",28,-1.12452464232257,-1.39176402820462,-0.852489317398003,"Yarmuth (D KY-3)",78,"John","Yarmuth"
"IL","1","D","M","R000515","29346",59,-1.11972493154268,-1.41438553621929,-0.871084850617754,"Rush (D IL-1)",79,"Bobby","Rush"
"NM","3","D","M","L000570","20932",3,-1.11956315781573,-1.37774989193233,-0.862807548138762,"Lujan (D NM-3)",80,"Ben","Lujan"
"IL","7","D","M","D000096","29717",22,-1.11815205266925,-1.39866921765282,-0.890913946532412,"Davis (D IL-7)",81,"Danny","Davis"
"FL","24","D","F","W000808","21118",23,-1.11514297953732,-1.37229460817138,-0.87011719577896,"Wilson (D FL-24)",82,"Frederica","Wilson"
"NY","3","D","M","I000057","20129",6,-1.10918451127158,-1.36532120778807,-0.849986660473968,"Israel (D NY-3)",83,"Steve","Israel"
"VA","8","D","M","B001292","",6,-1.09307311533279,-1.34496715580501,-0.869033975378256,"Beyer (D VA-8)",84,"Donald","Beyer"
"IL","2","D","F","K000385","21371",8,-1.08742191078599,-1.33324964913536,-0.840926457295151,"Kelly (D IL-2)",85,"Robin","Kelly"
"FL","23","D","F","W000797","20504",68,-1.08276462013445,-1.35346113805279,-0.828077000313286,"Wasserman Schultz (D FL-23)",86,"Debbie","Wasserman Schultz"
"CA","14","D","F","S001175","20762",45,-1.07467394650392,-1.31078237623449,-0.838207676780116,"Speier (D CA-14)",87,"Jackie","Speier"
"CT","1","D","M","L000557","29908",9,-1.06998749638693,-1.32448612918067,-0.846884868425356,"Larson (D CT-1)",88,"John","Larson"
"CA","53","D","F","D000598","20108",2,-1.06956720626739,-1.32614183999128,-0.848582533193411,"Davis (D CA-53)",89,"Susan","Davis"
"VA","3","D","M","S000185","39307",4,-1.06551487388719,-1.30987694780918,-0.830702558493919,"Scott (D VA-3)",90,"Robert","Scott"
"MD","5","D","M","H000874","14873",17,-1.06302479062182,-1.30500711250828,-0.825565571319418,"Hoyer (D MD-5)",91,"Steny","Hoyer"
"MI","5","D","M","K000380","21372",4,-1.05653178408184,-1.28601155626472,-0.838799734788539,"Kildee (D MI-5)",92,"Dan","Kildee"
"OH","3","D","F","B001281","21352",3,-1.05464120355966,-1.27800567539833,-0.817473492006508,"Beatty (D OH-3)",93,"Joyce","Beatty"
"NY","13","D","M","R000053","13035",12,-1.04548054030732,-1.27622041150854,-0.820411003119183,"Rangel (D NY-13)",94,"Charles","Rangel"
"CA","44","D","F","H001063","21195",5,-1.04279826069578,-1.27718252529234,-0.836858925151589,"Hahn (D CA-44)",95,"Janice","Hahn"
"NY","6","D","F","M001188","21342",27,-1.03997863603544,-1.26961480860212,-0.805340298848984,"Meng (D NY-6)",96,"Grace","Meng"
"MA","4","D","M","K000379","21335",5,-1.02925266201275,-1.24050068082176,-0.812839931896846,"Kennedy III (D MA-4)",97,"Joseph","Kennedy III"
"OR","3","D","M","B000574","29588",8,-1.02771959262502,-1.23581212627939,-0.81145403548127,"Blumenauer (D OR-3)",98,"Earl","Blumenauer"
"CA","19","D","F","L000397","29504",29,-1.02618854156394,-1.260906533058,-0.805438519418805,"Lofgren (D CA-19)",99,"Zoe","Lofgren"
"NY","12","D","F","M000087","21344",13,-1.01144196308784,-1.22260130656162,-0.785598567941845,"Maloney (D NY-12)",100,"Carolyn","Maloney"
"NY","26","D","M","H001038","20519",11,-1.00205298252516,-1.1982672306573,-0.780613403426551,"Higgins (D NY-26)",101,"Brian","Higgins"
"NJ","9","D","M","P000096","29741",13,-0.996010782733432,-1.2035745236391,-0.777675020230829,"Pascrell Jr. (D NJ-9)",102,"Bill","Pascrell Jr."
"HI","1","D","M","T000473","",6,-0.980775555613404,-1.19674203252352,-0.76949480964549,"Takai (D HI-1)",103,"Mark","Takai"
"PA","1","D","M","B001227","29777",14,-0.971117356593786,-1.18876725240625,-0.77635186362781,"Brady (D PA-1)",104,"Robert","Brady"
"CA","33","D","M","L000582","",15,-0.96826682699349,-1.205169233571,-0.784615794830288,"Lieu (D CA-33)",105,"Ted","Lieu"
"FL","5","D","F","B000911","29328",16,-0.958382136904605,-1.15461186849397,-0.756617318392575,"Brown (D FL-5)",106,"Corrine","Brown"
"CA","35","D","F","T000474","",2,-0.942679640483758,-1.14223076284798,-0.748851578263036,"Torres (D CA-35)",107,"Norma","Torres"
"TX","35","D","M","D000399","29571",7,-0.939939499087522,-1.13665346331158,-0.750014062080723,"Doggett (D TX-35)",108,"Lloyd","Doggett"
"GA","4","D","M","J000288","20712",16,-0.939613585390773,-1.13645566211271,-0.753418015030489,"Johnson (D GA-4)",109,"Hank","Johnson"
"MI","9","D","M","L000263","15033",3,-0.9332106887889,-1.13124789253622,-0.750035703795817,"Levin (D MI-9)",110,"Sander","Levin"
"CA","30","D","M","S000344","29707",4,-0.932525332450983,-1.13881244216297,-0.753763276296226,"Sherman (D CA-30)",111,"Brad","Sherman"
"SC","6","D","M","C000537","39301",14,-0.92674580396398,-1.11953674378197,-0.741241372868748,"Clyburn (D SC-6)",112,"James","Clyburn"
"TN","9","D","M","C001068","20748",8,-0.922723236105494,-1.11321017005863,-0.739219613052594,"Cohen (D TN-9)",113,"Steve","Cohen"
"PA","13","D","M","B001296","",29,-0.922641824161233,-1.11223052616768,-0.73353359681677,"Boyle (D PA-13)",114,"Brendan","Boyle"
"OH","9","D","F","K000009","15029",30,-0.92077315214286,-1.13386523281271,-0.731651167858678,"Kaptur (D OH-9)",115,"Marcy","Kaptur"
"PA","14","D","M","D000482","29561",18,-0.920766489736729,-1.10495256230254,-0.735764429173234,"Doyle (D PA-14)",116,"Mike","Doyle"
"CA","24","D","F","C001036","29774",54,-0.913205320439903,-1.11175002121076,-0.729271935704184,"Capps (D CA-24)",117,"Lois","Capps"
"PA","17","D","M","C001090","21358",22,-0.911187119201835,-1.10043688858377,-0.729747137037067,"Cartwright (D PA-17)",118,"Matt","Cartwright"
"TX","20","D","M","C001091","21362",3,-0.905597987757241,-1.09241344312826,-0.733286136055982,"Castro (D TX-20)",119,"Joaquin","Castro"
"CA","15","D","M","S001193","21306",9,-0.900871492773397,-1.09395599280538,-0.721540071503189,"Swalwell (D CA-15)",120,"Eric","Swalwell"
"NM","1","D","F","L000580","21341",14,-0.900010522444588,-1.09510530810737,-0.732431492220761,"Lujan Grisham (D NM-1)",121,"Michelle","Lujan Grisham"
"OH","13","D","M","R000577","20343",35,-0.890446549872859,-1.07926186557643,-0.706043748248488,"Ryan (D OH-13)",122,"Tim","Ryan"
"CA","9","D","M","M001166","20702",13,-0.883347625135667,-1.06941964975371,-0.713198018450121,"McNerney (D CA-9)",123,"Jerry","McNerney"
"TX","33","D","M","V000131","21365",3,-0.880200360110283,-1.05175165832315,-0.705518215089151,"Veasey (D TX-33)",124,"Marc","Veasey"
"RI","2","D","M","L000559","20136",15,-0.869036926466192,-1.0375680365588,-0.696153872134227,"Langevin (D RI-2)",125,"Jim","Langevin"
"LA","2","D","M","R000588","21137",12,-0.866757384628989,-1.03125550000673,-0.696846776541693,"Richmond (D LA-2)",126,"Cedric","Richmond"
"HI","2","D","F","G000571","21324",2,-0.864460072641872,-1.04027270206148,-0.698707447497581,"Gabbard (D HI-2)",127,"Tulsi","Gabbard"
"NJ","8","D","M","S001165","20542",7,-0.863296859075173,-1.03489838905192,-0.69553391171205,"Sires (D NJ-8)",128,"Albio","Sires"
"MN","8","D","M","N000127","14263",16,-0.859164379789142,-1.0392225995771,-0.708010395797124,"Nolan (D MN-8)",129,"Rick","Nolan"
"CT","2","D","M","C001069","20706",6,-0.858222588010651,-1.02734875639056,-0.688246607840164,"Courtney (D CT-2)",130,"Joe","Courtney"
"TX","18","D","F","J000032","29573",40,-0.854427622461222,-1.02464085842146,-0.675179757111291,"Jackson-Lee (D TX-18)",131,"Sheila","Jackson-Lee"
"IN","1","D","M","V000108","15124",9,-0.83887733089311,-1.00462443740901,-0.679928536253064,"Visclosky (D IN-1)",132,"Peter","Visclosky"
"NV","1","D","F","T000468","20927",11,-0.83399828393812,-0.998757813209158,-0.6674275552236,"Titus (D NV-1)",133,"Dina","Titus"
"CA","5","D","M","T000460","29901",2,-0.832476884373726,-0.990998344893317,-0.671076462576072,"Thompson (D CA-5)",134,"Mike","Thompson"
"MA","6","D","M","M001196","",3,-0.830130620844795,-0.993784484511537,-0.66753869735398,"Moulton (D MA-6)",135,"Seth","Moulton"
"CT","5","D","F","E000293","21316",4,-0.825699798531472,-1.00655428719405,-0.674775242253701,"Esty (D CT-5)",136,"Elizabeth","Esty"
"TX","9","D","M","G000553","20529",9,-0.823577864058487,-0.981507421478576,-0.654550645286098,"Green (D TX-9)",137,"Al","Green"
"FL","9","D","M","G000556","20908",12,-0.822040970775001,-0.984001479579621,-0.6707637091962,"Grayson (D FL-9)",138,"Alan","Grayson"
"WA","10","D","M","H001064","21369",4,-0.821055076227768,-0.985304678240371,-0.656278226938051,"Heck (D WA-10)",139,"Denny","Heck"
"TX","16","D","M","O000170","21361",18,-0.811059303964161,-0.975881933881402,-0.646706987558087,"O'Rourke (D TX-16)",140,"Beto","O'Rourke"
"IL","5","D","M","Q000023","20954",11,-0.80604586717406,-0.963037210135592,-0.660350440864838,"Quigley (D IL-5)",141,"Mike","Quigley"
"WA","1","D","F","D000617","31101",2,-0.804167298079447,-0.972493645594628,-0.663044460059843,"DelBene (D WA-1)",142,"Suzan","DelBene"
